Campaign / Message,Subscription Topic,Day,utm_source,utm_medium,utm_campaign,utm_content,Base URL,Full URL
Day 10 Email (stats + briefing) - PS Compare,Product Tips,10,customerio,email,extended_day10,cta_ps,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=email&utm_campaign=extended_day10&utm_content=cta_ps"
Day 11 Email (real-world scenario),Product Tips,11,customerio,email,nostreak_day11,cta_primary,elderella://home,"elderella://home?utm_source=customerio&utm_medium=email&utm_campaign=nostreak_day11&utm_content=cta_primary"
Day 12 SMS (Premium ending),Plan & Pricing Updates,12,customerio,sms,conversion_day12,sms_premium_ending,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=sms&utm_campaign=conversion_day12&utm_content=sms_premium_ending"
Day 13 Email (comparison table) - Keep Premium,Plan & Pricing Updates,13,customerio,email,conversion_day13,cta_primary,elderella://subscribe,"elderella://subscribe?utm_source=customerio&utm_medium=email&utm_campaign=conversion_day13&utm_content=cta_primary"
Day 13 Email (comparison table) - Compare Plans,Plan & Pricing Updates,13,customerio,email,conversion_day13,cta_secondary,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=email&utm_campaign=conversion_day13&utm_content=cta_secondary"
Day 14 SMS (last day Premium),Plan & Pricing Updates,14,customerio,sms,conversion_day14,sms_last_day,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=sms&utm_campaign=conversion_day14&utm_content=sms_last_day"
Day 14 SMS (social proof - no-streak),Product Tips,14,customerio,sms,nostreak_day14,sms_social_proof,elderella://chat,"elderella://chat?utm_source=customerio&utm_medium=sms&utm_campaign=nostreak_day14&utm_content=sms_social_proof"
Day 17 Email (briefing teaser - no-streak) - CTA,Plan & Pricing Updates,17,customerio,email,nostreak_day17,cta_primary,https://www.elderella.com/get-started/briefing,"https://www.elderella.com/get-started/briefing?utm_source=customerio&utm_medium=email&utm_campaign=nostreak_day17&utm_content=cta_primary"
Day 17 Email (briefing teaser - no-streak) - Compare,Plan & Pricing Updates,17,customerio,email,nostreak_day17,cta_secondary,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=email&utm_campaign=nostreak_day17&utm_content=cta_secondary"
Day 17 Email (Ella is still here - post-premium),Product Tips,17,customerio,email,postpremium_day17,cta_primary,elderella://home,"elderella://home?utm_source=customerio&utm_medium=email&utm_campaign=postpremium_day17&utm_content=cta_primary"
Day 21 SMS (re-engagement),Product Tips,21,customerio,sms,nostreak_day21,sms_reengage,elderella://chat,"elderella://chat?utm_source=customerio&utm_medium=sms&utm_campaign=nostreak_day21&utm_content=sms_reengage"
Day 30 Email (stats - no-streak) - Compare,Plan & Pricing Updates,30,customerio,email,nostreak_day30,cta_primary,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=email&utm_campaign=nostreak_day30&utm_content=cta_primary"
Day 30 Email (stats - post-premium) - Compare,Plan & Pricing Updates,30,customerio,email,postpremium_day30,cta_primary,https://www.elderella.com/compare-plans,"https://www.elderella.com/compare-plans?utm_source=customerio&utm_medium=email&utm_campaign=postpremium_day30&utm_content=cta_primary"

---NAMING CONVENTION---

Parameter,Allowed Values,Description
utm_source,customerio,Messages sent from Customer.io
utm_source,attio,Messages triggered from Attio CRM
utm_source,website,Links on elderella.com (e.g. blog posts)
utm_source,google,Google Ads
utm_source,meta,Meta/Facebook/Instagram Ads
utm_source,tiktok,TikTok Ads
utm_medium,email,Email messages
utm_medium,sms,SMS/text messages
utm_medium,push,Push notifications
utm_medium,paid_search,Paid search ads
utm_medium,paid_social,Paid social ads
utm_medium,organic_social,Organic social media posts
utm_campaign prefix,onboarding_,Days 1-7 Getting Started sequence
utm_campaign prefix,extended_,Days 8-14 extended premium (streak users)
utm_campaign prefix,nostreak_,Days 9-30 no-streak follow-up
utm_campaign prefix,postpremium_,Post-premium re-engagement (streak users who didn't convert)
utm_campaign prefix,conversion_,Premium conversion messages
utm_campaign prefix,newsletter_,Newsletter broadcasts (use YYYY-MM date suffix)
utm_content,cta_primary,Main call-to-action button/link in message
utm_content,cta_secondary,Secondary CTA (e.g. Compare Plans link)
utm_content,cta_ps,Link in the P.S. line
utm_content,cta_footer,Link in the email footer
utm_content,sms_*,SMS link (descriptive suffix e.g. sms_welcome sms_briefing)
